timestamp,user,fullname,text,retweets,replies,likes,,
2012-09-01T08:27:54,FrustIndian,TheFrustratedIndian,"There are so many similar people out there, I probably am the only one who admits it openly. #TheFrustratedIndian says hello to Twitter :-)",1,0,0,,
2012-09-01T10:40:13,FrustIndian,TheFrustratedIndian,#RajThackrey: There is a divine connect too!! Read On -  http://justpaste.it/19nh ,1,0,0,,
2012-09-02T18:55:02,FrustIndian,TheFrustratedIndian,"I am live now...Stay Foolish Stay Frustrated ;-)

http://www.thefrustratedindian.com ",1,0,0,,
2012-09-03T17:22:31,FrustIndian,TheFrustratedIndian,"कुछ की सफेदपोशी में और कुछ के ठरकपन में हम यूंही बेमौत मरते हैं नीयत नेक भी हो तब भी, ""कैन आई ड्रॉप यू समवेयर"" कहने से डरते हैं #Delhi #Men",0,0,0,,
2012-09-06T14:47:35,FrustIndian,TheFrustratedIndian,@kitkatdairymilk thank you. I just hope to be regular here,0,0,0,,
2012-09-06T14:58:41,FrustIndian,TheFrustratedIndian,Prithviraj means emperor of the earth Sukumaran means a delicate guy. Oxymoron? #PrithvirajSukumaran,0,0,0,,
2012-09-07T12:08:41,FrustIndian,TheFrustratedIndian,Monks sell your Ferraris. UNITED #PETROL ALLIANCE might drop a bomb soon.,0,0,0,,
2012-09-09T08:26:11,FrustIndian,TheFrustratedIndian,"If Hanuman came2greet DaraSingh Personally at Heaven'sGate, Krishna must hv come2greet #VergheseKurien.""Milk and Butter"" lover both of them!",0,0,0,,
2012-09-12T08:59:41,FrustIndian,TheFrustratedIndian,"Sometime Back #MulayamSingh attacked #NarendraModi,Now he is attacking #Congress.HenceProved, #SamajwadiParty is both Secular&non-Corrupt!",2,0,1,,
2012-09-13T09:44:54,FrustIndian,TheFrustratedIndian,The new #iPhone5 can click underwater too.(Just once),0,0,0,,
2012-09-13T09:47:08,FrustIndian,TheFrustratedIndian,#SamajwadiParty calling #Congress corrupt is like Preetam calling Anu Malik Chor. #Hilarious,0,0,0,,
2012-09-13T09:49:55,FrustIndian,TheFrustratedIndian,Oppression Of Women - The Indian Scenario - The Frustrated Indian speaks... http://www.thefrustratedindian.com/blogs/entry/5-oppression-of-women-the-indian-scenario.html …,0,0,0,,
2012-09-13T09:50:08,FrustIndian,TheFrustratedIndian,The Ever Ambitious Softie - Calling Shots ! - The Frustrated Indian speaks... http://www.thefrustratedindian.com/blogs/entry/4-the-ever-ambitious-softie-calling-shots.html …,0,0,0,,
2012-09-13T10:02:40,FrustIndian,TheFrustratedIndian,"न नौ मन तेल होगा , न राधा नाचेगी  - We would never have 9 gallons of oil and hence Radha won't dance ever. #BihariProverbsInSimpleEnglish",1,0,0,,
2012-09-13T10:05:09,FrustIndian,TheFrustratedIndian,@BihariTips marenge lol pe ke chadhega pole pe-Will hit you on your mouth & you'd fly to the top of the pole. #BihariProverbsInSimpleEnglish,1,0,0,,
2012-09-14T12:02:28,FrustIndian,TheFrustratedIndian,"हलाल कहे करते हो, एक बार में झटका दे दो
पांच रुपैय्ये से क्या होगा, सौ-पचास का फटका दे दो

#Diesel Continued",0,0,0,,
2012-09-14T12:02:54,FrustIndian,TheFrustratedIndian,"बात सही है, मैंने ही भेजा है तुमको चुनकर
फ्रिज टीवी तो बिक गए सारे, सर फोड़ने को एक मटका दे दो
#Diesel",0,0,0,,
2012-09-14T12:08:09,FrustIndian,TheFrustratedIndian,"#DesiMovies
1. HowToLoseAGuyin10Days - दस दिनों में एक लौंडे को कैसे खदेड़े 
2. Enemy at the gate - शत्रु खड़ा द्वारे",1,0,0,,
2012-09-14T12:10:10,FrustIndian,TheFrustratedIndian,"#DesiMovies
3. Silence of the Lambs - शान्ति मेमनों की 
4. FaceOff - बंद मुखड़ा 
5. Good Luck Chuck - ए चक, शुभकामनाएं",1,0,0,,
2012-09-14T12:41:24,FrustIndian,TheFrustratedIndian,Just followed PMO on twitter and that was the suggestion I got. :Opic.twitter.com/KvBuXl7J,1,0,1,,
2012-09-14T18:08:06,FrustIndian,TheFrustratedIndian,"Smile and spread love, It's #Friday...If you can't read this status properly...You are a Rockstar...If you can, you'll be a Rockstar soon..!",0,0,0,,
2012-09-17T19:36:15,,TheFrustratedIndian,#ImThePersonWho never shows teeth while laughing,0,0,0,,
2012-09-17T19:37:08,FrustIndian,TheFrustratedIndian,#ImThePersonWho fires the smelliest farts...,0,0,0,,
2012-09-17T19:38:06,FrustIndian,TheFrustratedIndian,#ImThePersonWho says hi to girls instead of staring and passing lewd comments,0,0,0,,
2012-09-17T19:40:32,FrustIndian,TheFrustratedIndian,"#Respect to the director of ""Innocence of Muslims"" for being the stickiest, smelliest and deepest asshole",0,0,0,,
2012-09-17T19:42:27,FrustIndian,TheFrustratedIndian,"#Barfi is also a famous Mithai. Jalebi, Rasgulla, kalakand, peda, gulabjamun etc are other famous mithais",0,0,0,,
2012-09-17T19:45:24,FrustIndian,TheFrustratedIndian,#SocialMedia UPA's opposition along with @swamy39,0,0,0,,
2012-09-17T19:48:18,FrustIndian,TheFrustratedIndian,@UntamedBachelor poora ilaka me itna bomb maarenge ki poora ilaka dhuan dhuan ho jaayega,0,0,0,,
2012-09-17T19:49:49,FrustIndian,TheFrustratedIndian,#quote never copy and paste them without mentioning the writer's name,0,0,0,,
2012-09-17T19:50:59,FrustIndian,TheFrustratedIndian,#nowplaying My coronation ceremony. Trumpets. Garlands. Beautiful princesses...zzzzzz....  #sleeping,0,0,0,,
2012-09-19T16:17:02,FrustIndian,TheFrustratedIndian,On The Rails - The Frustrated Indian speaks... http://www.thefrustratedindian.com/blogs/entry/7-On-the-Rails.html …,0,0,0,,
2012-09-19T16:41:23,FrustIndian,TheFrustratedIndian,The Biryani King – Kasab and Beyond ! - The Frustrated Indian speaks... http://www.thefrustratedindian.com/blogs/entry/8-the-biryani-king-%E2%80%93-kasab-and-beyond.html …,0,0,0,,
2012-09-20T16:48:46,FrustIndian,TheFrustratedIndian,Our Sanskriti - The Frustrated Indian speaks... http://www.thefrustratedindian.com/blogs/entry/9-our-sanskriti.html …,0,0,0,,
2012-09-21T16:41:05,FrustIndian,TheFrustratedIndian,"An Open letter to @ @ajaydevgn  - The Frustrated Indian speaks... http://thefrustratedindian.com/blogs/entry/10-an-open-letter-to-ajay-devgn.html …
#AjayDevgn #SonOfSardar #Bollywood",1,0,0,,
2012-09-22T08:43:35,FrustIndian,TheFrustratedIndian,"#ReplaceMovieNameWithPM Is Bhratachaar ka ""PM Gavaah""",0,0,0,,
2012-09-22T08:44:27,FrustIndian,TheFrustratedIndian,#ReplaceMovieNameWithPM Ajab PM ki Ghazab Kahani,0,0,0,,
2012-09-22T08:46:01,FrustIndian,TheFrustratedIndian,#ReplaceMovieNameWithPM PM Pagla Diwana,0,0,0,,
2012-09-22T08:46:44,FrustIndian,TheFrustratedIndian,#ReplaceMovieNameWithPM PM toh Bachcha hai Jee,0,0,0,,
2012-09-22T08:47:09,FrustIndian,TheFrustratedIndian,#ReplaceMovieNameWithPM Ek PM tha,0,0,0,,
2012-09-22T08:48:57,FrustIndian,TheFrustratedIndian,"An Open letter to @ @ajaydevgn - TheFrustratedIndian speaks... http://thefrustratedindian.com/blogs/entry/10-an-open-letter-to-ajay-devgn.html … … #AjayDevgn #SalmanKhan #Heroine #nowplaying
#Audi #F",0,0,0,,
2012-09-22T08:49:55,FrustIndian,TheFrustratedIndian,"#SongsWithAwesomeLyrics Sakhi Sainyaan to Khob hi kamaat hai, Mahangayi dayan khaye jaat hai #Corruption #UPA",0,0,0,,
2012-09-23T09:04:32,FrustIndian,TheFrustratedIndian,"#Barfi is good but #GOW was better and I am sure it could have brought the coveted trophy to India. Anyways, All the best to Mr. #AnuragBasu",0,0,0,,
2012-09-23T09:26:23,FrustIndian,TheFrustratedIndian,@bhak_sala @kamaalrkhan With Asin posters for other Toilet activities as well,0,0,0,,
2012-09-23T13:22:12,FrustIndian,TheFrustratedIndian,My Mother Land - The Frustrated Indian speaks... http://thefrustratedindian.com/blogs/entry/11-my-mother-land.html …,0,0,0,,
2012-09-23T13:26:26,FrustIndian,TheFrustratedIndian,"#EmraanHashmiTheSuperstar is trending, someone please trend #JugalHansrajTheSuperstar. He was my favorite heroine!",1,0,0,,
2012-09-25T16:36:08,FrustIndian,TheFrustratedIndian,The Making of King-Maker – Bhaiyya Raja! - The Frustrated Indian speaks... http://www.thefrustratedindian.com/blogs/entry/12-the-making-of-king-maker-%E2%80%93-bhaiyya-raja.html …,0,0,0,,
